113,113,113,113,113,113,113,113,113,74,74,74,74,74,74,74,74,74,74,74,74,113,113,113,
113,113,113,113,113,113,113,113,113,74,113,113,77,113,113,113,113,74,113,113,113,113,113,113,
113,113,74,113,113,113,74,74,113,113,77,112,112,112,113,77,112,112,112,113,113,113,113,113,
113,113,74,74,74,74,74,74,74,74,77,112,131,131,74,77,112,131,131,113,113,113,113,113,
113,113,113,74,74,74,74,74,74,74,74,112,131,131,113,77,112,131,131,113,113,113,113,113,
113,113,113,113,74,74,74,74,74,74,74,113,130,130,74,74,74,130,130,113,113,113,113,113,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,113,113,113,113,113,
74,113,74,74,131,131,130,77,74,74,74,74,74,74,74,74,74,74,74,113,113,113,113,113,
74,113,74,74,131,131,130,77,74,74,74,74,74,77,77,74,74,74,74,113,113,113,113,113,
113,113,113,74,131,131,130,77,74,74,74,113,77,77,130,130,74,74,74,113,113,113,113,113,
74,74,113,74,131,131,130,74,74,74,74,113,131,131,131,130,130,74,74,113,113,113,113,113,
74,74,74,74,131,130,130,113,74,74,74,74,130,131,131,130,130,74,113,113,113,113,113,113,
74,74,74,74,74,74,74,74,74,113,113,74,113,131,131,131,74,74,113,113,113,113,113,113,
74,74,113,113,113,113,113,113,74,74,74,74,113,130,130,130,113,113,113,113,113,113,113,113,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,
